cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	Collinsella_intestinalis_SGB14741	NAD+;malate;2-methylcitrate/homocitrate;gamma-glutamyl-alpha-lysine;N-acetylglutamate;N-acetylhistidine	5.994305720157666e-05
2	Muribaculaceae_SGB48227;Muribaculum_gordoncarteri_SGB2087	leucylalanine;N-acetyl-1-methylhistidine*;diacetylspermidine*;deoxycholic acid 12-sulfate*;N-palmitoyl-phytosphingosine (t18:0/16:0);4-cholesten-3-one	9.621331391783839e-05
3	Muribaculaceae_SGB48227;Muribaculum_gordoncarteri_SGB2087	6-oxolithocholate;dehydrolithocholate;3-dehydrodeoxycholate;12-ketolithocholate	9.621331391783839e-05
4	Collinsella_intestinalis_SGB14741	leucylalanine;N-acetyl-1-methylhistidine*;diacetylspermidine*;deoxycholic acid 12-sulfate*;N-palmitoyl-phytosphingosine (t18:0/16:0);4-cholesten-3-one	0.00016524147565663582
5	Muribaculaceae_SGB48227;Muribaculum_gordoncarteri_SGB2087	1-methyl-4-imidazoleacetate;4-imidazoleacetate;erythritol;N-carbamoylputrescine;vanillate;N,N,N-trimethyl-alanylproline betaine (TMAP);creatinine	0.00016524147565663582
6	Muribaculaceae_SGB48227;Muribaculum_gordoncarteri_SGB2087	2'-deoxyadenosine 5'-monophosphate;dCMP;TMP;phosphocholine;3'-dephospho-acetyl-CoA;glycerol 3-phosphate;nicotinic acid mononucleotide (NaMN);AMP;UMP;CMP	0.00018054977387432254
7	Collinsella_intestinalis_SGB14741	1-methyl-4-imidazoleacetate;4-imidazoleacetate;erythritol;N-carbamoylputrescine;vanillate;N,N,N-trimethyl-alanylproline betaine (TMAP);creatinine	0.00019638141866441946
8	Muribaculaceae_SGB48227;Muribaculum_gordoncarteri_SGB2087	N-acetylglucosaminylasparagine;arginine;guanine;glycerophosphoglycerol;alpha-ketoglutaramate*;methylphosphate;tyrosine;valylglutamine;glycylisoleucine;glycylleucine;glycylvaline;phenylalanine;alanine;methionine;isoleucine;leucine;valine;methionine sulfoxide;glycine;serine;threonine;glutamine;asparagine;riboflavin (Vitamin B2)	0.0002049040080971321
9	Prevotellaceae_SGB1481;Prevotella_copri_clade_A_SGB1626	N-methylalanine	0.0003436469870186155
10	Collinsella_intestinalis_SGB14741	dipicolinate;6-oxolithocholate;dehydrolithocholate;3-dehydrodeoxycholate;12-ketolithocholate	0.0003436469870186155
11	Collinsella_intestinalis_SGB14741;Collinsella_SGB14744_SGB14744;Slackia_SGB14781_SGB14781;Slackia_faecicanis_SGB33547	N-methylhydantoin;hydroxystearate sulfate;8-hydroxyguanine	0.00040836661281305715
12	Firmicutes_SGB63246	ribonate;lyxonate	0.0005202652750190758
13	Muribaculaceae_SGB48227;Muribaculum_gordoncarteri_SGB2087	agmatine;N-acetylphenylalanine;N-acetylleucine	0.0005287912360046465
14	Muribaculaceae_SGB48227	3-(2-hydroxyphenyl)propionate;3-phenylpropionate (hydrocinnamate);alpha-CEHC taurine*;azelaoyltaurine;gamma-CEHC taurine*;taurine;butyrylputrescine/isobutyrylputrescine;N-acetyltaurine;hexanoyltaurine;dopamine 3-O-sulfate;phenylacetyltaurine	0.0005920923445267948
15	Collinsella_intestinalis_SGB14741	hexadecatrienoate (16:3n3)	0.0008527268593253221
16	Prevotellaceae_SGB1481;Prevotella_copri_clade_A_SGB1626	guanine	0.0008666897729677645
17	Muribaculaceae_SGB48227;Muribaculum_gordoncarteri_SGB2087	1-carboxyethylleucine;syringic acid;1-methyl-5-imidazoleacetate;glycitein;genistein;secoisolariciresinol;chrysoeriol;apigenin;naringenin	0.001197787090888359
18	Slackia_SGB14781_SGB14781	N-palmitoyl-phytosphingosine (t18:0/16:0)	0.00133534100814144
19	Ligilactobacillus_ruminis_SGB7061	harmane	0.00133534100814144
